trial_num,trial_id,datetime_start,datetime_complete,duration_sec,risk_per_trade,stop_loss_multiplier,take_profit_multiplier,tema_fast_period,tema_slow_period,fitness_sharpe,best_sharpe_so_far,train_sharpe,train_net_profit_pct,train_max_drawdown,train_win_rate,train_total_trades,test_sharpe,test_net_profit_pct,test_max_drawdown,test_win_rate,test_total_trades,train_test_gap_pct
306,17648,2026-01-14 17:34:37.319539,2026-01-14 17:34:37.319539,0.0,2.7964024209643634,2.03000359623175,4.723189152672843,13.0,26.0,0.2237731806846302,0.3882811659042856,0.7307524937654662,11.281452785660406,-29.403975614710177,0.34890965732087226,321,-1.9749268448244275,-12.66960120083501,-19.14787386236575,0.3493975903614458,166,370.25933700860924
307,17649,2026-01-14 17:34:37.371179,2026-01-14 17:34:37.371179,0.0,2.776331788504102,3.7592702608808763,1.645090748940096,14.0,32.0,0.0001,0.3882811659042856,-1.551394563979603,-19.84351622250066,-23.89333755811458,0.4847457627118644,295,,,,,,
308,17650,2026-01-14 17:34:37.416814,2026-01-14 17:34:37.416814,0.0,2.7873196111162595,2.7955308902889002,2.433301239354829,14.0,34.0,0.11476128492199886,0.3882811659042856,0.13118706707099373,-0.4173554181166105,-22.590021176387086,0.4186851211072664,289,-4.356462764189626,-24.42806432058822,-28.95339520779302,0.36428571428571427,140,3420.8020130765362
309,17651,2026-01-14 17:34:37.676051,2026-01-14 17:34:37.676051,0.0,1.2426587146603745,3.9516509202824794,2.5519016701856363,19.0,46.0,0.0001,0.3882811659042856,-1.6482934187575549,-11.767378658124326,-13.585241052766229,0.4336283185840708,226,,,,,,
310,17652,2026-01-14 17:34:37.715624,2026-01-14 17:34:37.715624,0.0,1.7571417197111006,2.0438211000181656,4.169743853332687,20.0,45.0,0.0001,0.3882811659042856,-0.47543126214175313,-9.48755826756797,-20.367058933589988,0.3532110091743119,218,,,,,,
311,17653,2026-01-14 17:34:37.785388,2026-01-14 17:34:37.785388,0.0,1.2520430936188867,2.940052208626941,4.888555625516746,12.0,47.0,0.0001,0.3882811659042856,-3.2699671174240446,-32.38946918023547,-35.47080550194983,0.31399317406143346,293,,,,,,
312,17654,2026-01-14 17:34:37.849948,2026-01-14 17:34:37.849948,0.0,2.3739641560596225,4.757394054857597,2.6756660512489026,17.0,25.0,0.0001,0.3882811659042856,-2.570771792624765,-28.694475090848638,-29.523006316387125,0.3945578231292517,294,,,,,,
313,17655,2026-01-14 17:34:38.001436,2026-01-14 17:34:38.001436,0.0,2.6794452752305777,1.9328191151011413,1.6203804383107725,9.0,25.0,0.0001,0.3882811659042856,-0.15129239939266234,-4.5903231934582385,-15.762798462105131,0.4692874692874693,407,,,,,,
314,17656,2026-01-14 17:34:38.104077,2026-01-14 17:34:38.104077,0.0,2.963109429752458,1.7347122377626514,4.056599902332811,11.0,31.0,0.0001,0.3882811659042856,-0.37071431371023567,-10.542395745620032,-30.79570717329434,0.3087818696883853,353,,,,,,
315,17657,2026-01-14 17:34:38.395677,2026-01-14 17:34:38.395677,0.0,2.1826702341272295,3.1657502377789477,3.223634482117331,20.0,36.0,0.0001,0.3882811659042856,-1.9596325788626165,-27.43762037147597,-29.75588330931026,0.4052863436123348,227,,,,,,
