trial_num,trial_id,datetime_start,datetime_complete,duration_sec,bb_period,bb_std_dev,ema_period,stoch_overbought,stoch_oversold,fitness_sharpe,best_sharpe_so_far,train_sharpe,train_net_profit_pct,train_max_drawdown,train_win_rate,train_total_trades,test_sharpe,test_net_profit_pct,test_max_drawdown,test_win_rate,test_total_trades,train_test_gap_pct
43,22285,2026-01-15 22:45:24.288000,2026-01-15 22:45:24.288000,0.0,22.0,2.4853770693998896,50.0,86.0,22.0,0.0001,0.0001,-2.216375112330469,-11.319061107208897,-13.997435001912084,0.56,25,,,,,,
44,22286,2026-01-15 22:45:24.353397,2026-01-15 22:45:26.999818,2.646421,26.0,2.3896637030072085,59.0,87.0,28.0,0.0001,0.0001,,,,,,,,,,,
45,22287,2026-01-15 22:45:25.769407,2026-01-15 22:45:25.769407,0.0,22.0,2.4710233268015944,49.0,86.0,22.0,0.0001,0.0001,-2.3739287509403564,-11.98601328131681,-13.997435001912084,0.5416666666666666,24,,,,,,
46,22288,2026-01-15 22:45:25.803494,2026-01-15 22:45:28.971442,3.167948,25.0,2.3949284460234694,58.0,73.0,27.0,0.0001,0.0001,,,,,,,,,,,
47,22289,2026-01-15 22:45:26.001123,2026-01-15 22:45:26.001123,0.0,17.0,2.2254765646061667,50.0,72.0,22.0,0.0001,0.0001,-1.6678355202679729,-10.89176890697855,-16.119630844082533,0.5846153846153846,65,,,,,,
48,22290,2026-01-15 22:45:26.051418,2026-01-15 22:45:29.443821,3.392403,25.0,2.401372912050633,58.0,81.0,27.0,0.0001,0.0001,,,,,,,,,,,
49,22291,2026-01-15 22:45:26.907408,2026-01-15 22:45:26.907408,0.0,26.0,2.3896637030072085,59.0,87.0,28.0,0.0001,0.0001,-1.238665295196478,-6.648167551256974,-9.621615201854283,0.631578947368421,38,,,,,,
50,22292,2026-01-15 22:45:27.069273,2026-01-15 22:45:29.934270,2.864997,15.0,1.7896814271241295,44.0,79.0,18.0,0.0001,0.0001,,,,,,,,,,,
51,22293,2026-01-15 22:45:27.391755,2026-01-15 22:45:27.391755,0.0,26.0,2.2421102811209086,50.0,86.0,22.0,0.0001,0.0001,-1.6995812949538738,-8.33305035786673,-10.243406647060294,0.5217391304347826,23,,,,,,
52,22294,2026-01-15 22:45:27.468049,2026-01-15 22:45:30.061514,2.593465,15.0,1.789188166649938,44.0,74.0,18.0,0.0001,0.0001,,,,,,,,,,,
53,22295,2026-01-15 22:45:28.879601,2026-01-15 22:45:28.879601,0.0,25.0,2.3949284460234694,58.0,73.0,27.0,0.0001,0.0001,-0.32196872338887444,-2.997729603920105,-9.07014565675308,0.6233766233766234,77,,,,,,
54,22296,2026-01-15 22:45:29.044575,2026-01-15 22:45:31.089966,2.045391,15.0,1.830738494932071,44.0,79.0,24.0,0.0001,0.0001,,,,,,,,,,,
55,22297,2026-01-15 22:45:29.422804,2026-01-15 22:45:29.422804,0.0,25.0,2.401372912050633,58.0,81.0,27.0,0.0001,0.0001,-0.2868528303070558,-2.4300913814088343,-6.53990889696372,0.6909090909090909,55,,,,,,
56,22298,2026-01-15 22:45:29.463457,2026-01-15 22:45:31.280697,1.81724,15.0,1.7713782225650612,64.0,70.0,23.0,0.0001,0.0001,,,,,,,,,,,
57,22299,2026-01-15 22:45:29.912014,2026-01-15 22:45:29.912014,0.0,15.0,1.7896814271241295,44.0,79.0,18.0,0.0001,0.0001,-1.2174228629326918,-7.624102687970346,-12.620724231526525,0.6470588235294118,51,,,,,,
58,22300,2026-01-15 22:45:29.956014,2026-01-15 22:45:31.762666,1.806652,33.0,1.8747564520017108,65.0,70.0,23.0,0.0001,0.0001,,,,,,,,,,,
