trial_num,trial_id,datetime_start,datetime_complete,duration_sec,bb_period,bb_std_dev,ema_period,stoch_overbought,stoch_oversold,fitness_sharpe,best_sharpe_so_far,train_sharpe,train_net_profit_pct,train_max_drawdown,train_win_rate,train_total_trades,test_sharpe,test_net_profit_pct,test_max_drawdown,test_win_rate,test_total_trades,train_test_gap_pct
348,21190,2026-01-15 20:02:16.054563,2026-01-15 20:02:16.054563,0.0,27.0,1.6339877526095101,70.0,70.0,20.0,0.25891401582303064,0.38100555302408035,1.1082959814424487,4.723274228366712,-3.731942760078355,0.6610169491525424,59,-3.7960491141824755,-6.811517577010813,-6.811517577010862,0.5555555555555556,36,442.5122149447761
349,21191,2026-01-15 20:02:17.941607,2026-01-15 20:02:17.941607,0.0,21.0,1.5,51.0,87.0,25.0,0.0001,0.38100555302408035,-0.688378255864813,-3.0520478502639956,-7.919891670970857,0.6571428571428571,35,,,,,,
350,21192,2026-01-15 20:02:18.713962,2026-01-15 20:02:18.713962,0.0,27.0,2.350250175844375,51.0,90.0,25.0,0.0001,0.38100555302408035,-1.011467853164397,-3.2913740717924127,-4.857859865252301,0.6923076923076923,26,,,,,,
351,21193,2026-01-15 20:02:19.287493,2026-01-15 20:02:19.287493,0.0,15.0,1.8782652975535024,42.0,75.0,16.0,0.1393204374526297,0.38100555302408035,0.4565963948132821,1.5214959365776974,-5.457133180117779,0.725,40,-1.7156475017336292,-2.5297471308253843,-3.3499174318031733,0.6086956521739131,23,475.747053901995
352,21194,2026-01-15 20:02:19.568117,2026-01-15 20:02:19.568117,0.0,35.0,2.5,45.0,74.0,21.0,0.0001,0.38100555302408035,-0.21727602969490356,-0.5416214396648695,-3.6743532315460015,0.5348837209302325,43,,,,,,
353,21195,2026-01-15 20:02:20.290264,2026-01-15 20:02:20.290264,0.0,30.0,2.0686571331390544,40.0,70.0,21.0,0.24292139039583358,0.38100555302408035,1.1914565387795442,2.160775885956205,-1.5702401501274776,0.6052631578947368,38,-0.5252055385798452,-0.45228233848235405,-2.1084833793583835,0.52,25,144.0809648934265
354,21196,2026-01-15 20:02:20.736777,2026-01-15 20:02:20.736777,0.0,19.0,2.2376902141759456,46.0,70.0,15.0,0.09806426653759144,0.38100555302408035,0.16453559431348144,0.4863447530268395,-5.853600851997232,0.7380952380952381,42,-1.817455452669264,-2.4053152376539817,-2.9277221973618706,0.5,20,1204.5971300328831
355,21197,2026-01-15 20:02:21.043496,2026-01-15 20:02:21.043496,0.0,35.0,1.6669452579004684,40.0,89.0,30.0,0.15082723400424256,0.38100555302408035,0.592581062627641,0.4795406804187839,-1.0209602143072538,0.5151515151515151,33,-1.3811674966355512,-0.9429248841196546,-1.7018453282573454,0.6666666666666666,12,333.07654998476266
356,21198,2026-01-15 20:02:22.227428,2026-01-15 20:02:22.227428,0.0,31.0,1.8487320409091827,67.0,70.0,17.0,0.0001,0.38100555302408035,-0.4060391890508292,-1.3537921425873463,-4.69095767334291,0.6304347826086957,46,,,,,,
357,21199,2026-01-15 20:02:22.336699,2026-01-15 20:02:22.336699,0.0,35.0,2.3100733938174773,40.0,90.0,30.0,0.15082723400424256,0.38100555302408035,0.592581062627641,0.4795406804187839,-1.0209602143072538,0.5151515151515151,33,-0.9214440709447044,-0.5105233110125061,-1.3362715182692608,0.7272727272727273,11,255.49671244281905
