trial_num,trial_id,datetime_start,datetime_complete,duration_sec,bb_period,bb_std_dev,ema_period,stoch_overbought,stoch_oversold,fitness_sharpe,best_sharpe_so_far,train_sharpe,train_net_profit_pct,train_max_drawdown,train_win_rate,train_total_trades,test_sharpe,test_net_profit_pct,test_max_drawdown,test_win_rate,test_total_trades,train_test_gap_pct
340,20182,2026-01-15 19:41:23.141912,2026-01-15 19:41:26.131385,2.989473,31.0,2.2312137932616336,53.0,71.0,22.0,0.18745059833785296,0.5115899760924395,,,,,,,,,,,
341,20183,2026-01-15 19:41:23.877777,2026-01-15 19:41:23.877777,0.0,32.0,2.3575873045930424,42.0,71.0,22.0,0.0001,0.5115899760924395,-0.1824818883331236,-0.4436827423728012,-3.7913938251948,0.6046511627906976,43,,,,,,
342,20184,2026-01-15 19:41:23.913524,2026-01-15 19:41:27.214044,3.30052,31.0,2.2351280307358454,41.0,70.0,22.0,0.46098981131842787,0.5115899760924395,,,,,,,,,,,
343,20185,2026-01-15 19:41:24.531746,2026-01-15 19:41:24.531746,0.0,32.0,2.2346382274897953,42.0,71.0,22.0,0.0001,0.5115899760924395,-0.1824818883331236,-0.4436827423728012,-3.7913938251948,0.6046511627906976,43,,,,,,
344,20186,2026-01-15 19:41:24.574292,2026-01-15 19:41:28.106626,3.532334,34.0,2.239701725060668,41.0,70.0,22.0,0.3972898345753283,0.5115899760924395,,,,,,,,,,,
345,20187,2026-01-15 19:41:25.295059,2026-01-15 19:41:25.295059,0.0,31.0,2.246478928196354,43.0,71.0,22.0,0.1339856767720555,0.5115899760924395,0.39150211011098834,0.8476412934721387,-3.6136511551783435,0.6222222222222222,45,-1.1855568583311045,-1.0505683388989502,-2.6178866080523555,0.46153846153846156,26,402.8225973022232
346,20188,2026-01-15 19:41:25.414023,2026-01-15 19:41:29.229965,3.815942,31.0,2.2381735472813853,41.0,70.0,21.0,0.44283554683290355,0.5115899760924395,,,,,,,,,,,
347,20189,2026-01-15 19:41:26.094768,2026-01-15 19:41:26.094768,0.0,31.0,2.2312137932616336,53.0,71.0,22.0,0.18745059833785296,0.5115899760924395,0.7136509629092741,1.7133914334469602,-3.4411606740590073,0.64,50,-1.5110888363885377,-1.6288567148332458,-3.4669164054284662,0.5294117647058824,34,311.74060078731253
348,20190,2026-01-15 19:41:26.246234,2026-01-15 19:41:30.121089,3.874855,31.0,2.3214862071069837,41.0,70.0,21.0,0.44283554683290355,0.5115899760924395,,,,,,,,,,,
349,20191,2026-01-15 19:41:27.188561,2026-01-15 19:41:27.188561,0.0,31.0,2.2351280307358454,41.0,70.0,22.0,0.46098981131842787,0.5115899760924395,2.6239119921375114,3.694687252196878,-1.1951766031111144,0.6190476190476191,42,-0.674974930798703,-0.5816311104262497,-2.245956220351597,0.46153846153846156,26,125.72399275666444
350,20192,2026-01-15 19:41:27.230099,2026-01-15 19:41:30.846251,3.616152,31.0,2.3127965428878543,41.0,70.0,21.0,0.44283554683290355,0.5115899760924395,,,,,,,,,,,
351,20193,2026-01-15 19:41:28.079885,2026-01-15 19:41:28.079885,0.0,34.0,2.239701725060668,41.0,70.0,22.0,0.3972898345753283,0.5115899760924395,2.1754040859503365,2.961279792516232,-1.6786959159589276,0.5813953488372093,43,-0.84552263813526,-0.7335214949332566,-2.245956220351597,0.4444444444444444,27,138.8673830115516
352,20194,2026-01-15 19:41:28.161807,2026-01-15 19:41:31.709745,3.547938,31.0,2.3000723928970452,41.0,70.0,21.0,0.44283554683290355,0.5115899760924395,,,,,,,,,,,
353,20195,2026-01-15 19:41:29.213361,2026-01-15 19:41:29.213361,0.0,31.0,2.2381735472813853,41.0,70.0,21.0,0.44283554683290355,0.5115899760924395,2.520361962866819,3.537729864081495,-1.1951766031111144,0.6097560975609756,41,-0.5965286330993923,-0.4805364438808897,-2.1465539224107433,0.48,25,123.66837152314673
354,20196,2026-01-15 19:41:29.466387,2026-01-15 19:41:32.673103,3.206716,30.0,2.3162216309014103,41.0,71.0,21.0,0.3477324026452134,0.5115899760924395,,,,,,,,,,,
355,20197,2026-01-15 19:41:30.106450,2026-01-15 19:41:30.106450,0.0,31.0,2.3214862071069837,41.0,70.0,21.0,0.44283554683290355,0.5115899760924395,2.520361962866819,3.537729864081495,-1.1951766031111144,0.6097560975609756,41,-0.5965286330993923,-0.4805364438808897,-2.1465539224107433,0.48,25,123.66837152314673
356,20198,2026-01-15 19:41:30.138505,2026-01-15 19:41:33.243913,3.105408,30.0,2.3089999841686577,40.0,71.0,21.0,0.2671869084521941,0.5115899760924395,,,,,,,,,,,
357,20199,2026-01-15 19:41:30.825586,2026-01-15 19:41:30.825586,0.0,31.0,2.3127965428878543,41.0,70.0,21.0,0.44283554683290355,0.5115899760924395,2.520361962866819,3.537729864081495,-1.1951766031111144,0.6097560975609756,41,-0.5965286330993923,-0.4805364438808897,-2.1465539224107433,0.48,25,123.66837152314673
358,20200,2026-01-15 19:41:30.893760,2026-01-15 19:41:33.882848,2.989088,30.0,2.2002512619718355,40.0,71.0,21.0,0.2671869084521941,0.5115899760924395,,,,,,,,,,,
