trial_num,trial_id,datetime_start,datetime_complete,duration_sec,buy_threshold,rsi_period,sell_threshold,fitness_sharpe,best_sharpe_so_far,train_sharpe,train_net_profit_pct,train_max_drawdown,train_win_rate,train_total_trades,test_sharpe,test_net_profit_pct,test_max_drawdown,test_win_rate,test_total_trades,train_test_gap_pct
81,13786,2026-01-13 20:07:27.442100,2026-01-13 20:07:27.442100,0.0,28.0,26.0,83.0,0.0001,0.17011187877581233,,,,,,,,,,,
82,13787,2026-01-13 20:07:33.576392,2026-01-13 20:07:33.576392,0.0,20.0,9.0,74.0,0.0001,0.17011187877581233,,,,,,,,,,,
83,13788,2026-01-13 20:07:35.174526,2026-01-13 20:07:35.174526,0.0,27.0,18.0,81.0,0.0001,0.17011187877581233,,,,,,,,,,,
84,13789,2026-01-13 20:07:42.564995,2026-01-13 20:07:42.564995,0.0,31.0,11.0,84.0,0.0001,0.17011187877581233,,,,,,,,,,,
85,13790,2026-01-13 20:07:43.190852,2026-01-13 20:07:43.190852,0.0,40.0,13.0,83.0,0.1218285188862981,0.17011187877581233,,,,,,,,,,,
86,13791,2026-01-13 20:07:45.504689,2026-01-13 20:07:45.504689,0.0,35.0,23.0,70.0,0.0001,0.17011187877581233,,,,,,,,,,,
87,13792,2026-01-13 20:07:48.105568,2026-01-13 20:07:48.105568,0.0,38.0,28.0,73.0,0.08571612373517422,0.17011187877581233,,,,,,,,,,,
88,13793,2026-01-13 20:07:51.995794,2026-01-13 20:07:51.995794,0.0,22.0,17.0,82.0,0.0001,0.17011187877581233,,,,,,,,,,,
89,13794,2026-01-13 20:07:54.174755,2026-01-13 20:07:54.174755,0.0,32.0,24.0,78.0,0.0001,0.17011187877581233,,,,,,,,,,,
90,13795,2026-01-13 20:07:57.274373,2026-01-13 20:07:57.274373,0.0,20.0,19.0,84.0,0.0001,0.17011187877581233,,,,,,,,,,,
91,13796,2026-01-13 20:07:58.406799,2026-01-13 20:07:58.406799,0.0,45.0,10.0,66.0,0.0001,0.17011187877581233,,,,,,,,,,,
92,13797,2026-01-13 20:08:03.003377,2026-01-13 20:08:03.003377,0.0,21.0,7.0,67.0,0.0001,0.17011187877581233,,,,,,,,,,,
93,13798,2026-01-13 20:08:08.241921,2026-01-13 20:08:08.241921,0.0,39.0,8.0,63.0,0.0001,0.17011187877581233,,,,,,,,,,,
94,13799,2026-01-13 20:08:09.527059,2026-01-13 20:08:09.527059,0.0,30.0,21.0,70.0,0.0001,0.17011187877581233,,,,,,,,,,,
95,13800,2026-01-13 20:08:13.285311,2026-01-13 20:08:13.285311,0.0,34.0,13.0,70.0,0.0001,0.17011187877581233,,,,,,,,,,,
96,13801,2026-01-13 20:08:15.053469,2026-01-13 20:08:15.053469,0.0,24.0,21.0,72.0,0.0001,0.17011187877581233,,,,,,,,,,,
97,13802,2026-01-13 20:08:21.308553,2026-01-13 20:08:21.308553,0.0,37.0,12.0,60.0,0.0001,0.17011187877581233,,,,,,,,,,,
98,13803,2026-01-13 20:08:24.166925,2026-01-13 20:08:24.166925,0.0,29.0,22.0,69.0,0.0001,0.17011187877581233,,,,,,,,,,,
99,13804,2026-01-13 20:08:25.618709,2026-01-13 20:08:25.618709,0.0,37.0,12.0,74.0,0.0001,0.17011187877581233,,,,,,,,,,,
100,13805,2026-01-13 20:08:25.753730,2026-01-13 20:08:25.753730,0.0,27.0,29.0,62.0,0.0001,0.17011187877581233,,,,,,,,,,,
101,13806,2026-01-13 20:08:31.909481,2026-01-13 20:08:31.909481,0.0,31.0,18.0,71.0,0.0001,0.17011187877581233,,,,,,,,,,,
102,13807,2026-01-13 20:08:34.116646,2026-01-13 20:08:34.116646,0.0,22.0,25.0,85.0,0.0001,0.17011187877581233,,,,,,,,,,,
103,13808,2026-01-13 20:08:35.592966,2026-01-13 20:08:35.592966,0.0,32.0,28.0,69.0,0.0001,0.17011187877581233,,,,,,,,,,,
104,13809,2026-01-13 20:08:37.401406,2026-01-13 20:08:37.401406,0.0,32.0,23.0,76.0,0.0001,0.17011187877581233,,,,,,,,,,,
105,13810,2026-01-13 20:08:46.563810,2026-01-13 20:08:46.563810,0.0,26.0,19.0,62.0,0.0001,0.17011187877581233,,,,,,,,,,,
106,13811,2026-01-13 20:08:48.906923,2026-01-13 20:08:48.906923,0.0,32.0,7.0,76.0,0.0001,0.17011187877581233,,,,,,,,,,,
107,13812,2026-01-13 20:08:48.949738,2026-01-13 20:08:48.949738,0.0,30.0,25.0,79.0,0.0001,0.17011187877581233,,,,,,,,,,,
108,13813,2026-01-13 20:08:54.967264,2026-01-13 20:08:54.967264,0.0,33.0,13.0,83.0,0.10086944859170474,0.17011187877581233,,,,,,,,,,,
109,13814,2026-01-13 20:08:59.666733,2026-01-13 20:08:59.666733,0.0,38.0,21.0,64.0,0.0001,0.17011187877581233,,,,,,,,,,,
110,13815,2026-01-13 20:09:03.394863,2026-01-13 20:09:03.394863,0.0,37.0,13.0,78.0,0.0001,0.17011187877581233,,,,,,,,,,,
111,13816,2026-01-13 20:09:04.457222,2026-01-13 20:09:04.457222,0.0,37.0,11.0,75.0,0.0001,0.17011187877581233,,,,,,,,,,,
